organismID,genericName,specificEpithet,sex,MHW,GV,FE,FEP
AsymCx_female_01,Nasonia,vitripennis,female,708.47,19866.48,284.75,108.16
AsymCx_female_02,Nasonia,vitripennis,female,738.89,33129.1,281.63,61.14
AsymCx_female_03,Nasonia,vitripennis,female,747.23,20226.38,291.27,184.37
AsymCx_female_04,Nasonia,vitripennis,female,743.49,16310.18,293.58,152.17
AsymCx_female_05,Nasonia,vitripennis,female,778.70,27170.62,290.76,156.61
AsymCx_female_06,Nasonia,vitripennis,female,728.79,27870.9,278.85,95.66
AsymCx_female_07,Nasonia,vitripennis,female,748.53,25810.32,278.08,138.2
AsymCx_female_08,Nasonia,vitripennis,female,767.40,40022.1,299.63,124.62
AsymCx_female_09,Nasonia,vitripennis,female,764.21,18275.6,279.53,179
AsymCx_female_10,Nasonia,vitripennis,female,792.13,20405.72,290.55,217.19
AsymCx_male_01,Nasonia,vitripennis,male,658.68,372850.3,220.01,92.49
AsymCx_male_02,Nasonia,vitripennis,male,639.52,330053.92,,
AsymCx_male_03,Nasonia,vitripennis,male,690.10,518425.58,,
AsymCx_male_04,Nasonia,vitripennis,male,623.24,384536.68,,
AsymCx_male_05,Nasonia,vitripennis,male,613.85,256312.24,,
AsymCx_male_06,Nasonia,vitripennis,male,685.11,540655.2,224.7,
AsymCx_male_07,Nasonia,vitripennis,male,547.71,156013.6,,
AsymCx_male_08,Nasonia,vitripennis,male,593.35,154715.5,,
AsymCx_male_09,Nasonia,vitripennis,male,656.70,333881.06,,
AsymCx_male_10,Nasonia,vitripennis,male,645.58,436958.9,,
IV7_u_female_01,Nasonia,longicornis,female,694.10,18445.18,,
IV7_u_female_02,Nasonia,longicornis,female,736.20,36918.42,,
IV7_u_female_03,Nasonia,longicornis,female,748.65,30514.64,,
IV7_u_female_04,Nasonia,longicornis,female,656.52,11910.86,,
IV7_u_female_05,Nasonia,longicornis,female,663.94,17450.88,,
IV7_u_female_06,Nasonia,longicornis,female,721.07,31005.08,,
IV7_u_female_07,Nasonia,longicornis,female,686.27,25136.88,,
IV7_u_male_01,Nasonia,longicornis,male,688.74,1247182,255.67,
IV7_u_male_02,Nasonia,longicornis,male,658.26,999070.2,,
IV7_u_male_03,Nasonia,longicornis,male,699.83,890637.82,,
IV7_u_male_04,Nasonia,longicornis,male,679.93,910743.42,,
IV7_u_male_05,Nasonia,longicornis,male,611.03,561723.4,,
IV7_u_male_06,Nasonia,longicornis,male,650.72,781347.78,,
IV7_u_male_07,Nasonia,longicornis,male,682.28,1008051,,
IV7_u_male_08,Nasonia,longicornis,male,643.18,1027223,,
IV7_u_male_09,Nasonia,longicornis,male,673.47,1000480.52,,
IV7_u_male_10,Nasonia,longicornis,male,616.71,834908.2,,
Rv2x_u_female_01,Nasonia,giraulti,female,767.91,32560.58,,
Rv2x_u_female_02,Nasonia,giraulti,female,772.98,28000.22,,
Rv2x_u_female_03,Nasonia,giraulti,female,705.92,21735.52,,
Rv2x_u_female_04,Nasonia,giraulti,female,740.89,16423.64,,
Rv2x_u_female_06,Nasonia,giraulti,female,743.25,39057.08,,
Rv2x_u_female_07,Nasonia,giraulti,female,729.82,25366.24,,
Rv2x_u_female_08,Nasonia,giraulti,female,730.28,24805.04,,
Rv2x_u_female_09,Nasonia,giraulti,female,707.39,26411.78,,
Rv2x_u_female_10,Nasonia,giraulti,female,737.44,17801.02,,
Rv2x_u_male_01,Nasonia,giraulti,male,697.96,2123853,,
Rv2x_u_male_02,Nasonia,giraulti,male,678.72,1793018,,
Rv2x_u_male_03,Nasonia,giraulti,male,733.88,2210106,,
Rv2x_u_male_04,Nasonia,giraulti,male,682.76,2077675,,
Rv2x_u_male_05,Nasonia,giraulti,male,607.36,1138537,,
Rv2x_u_male_06,Nasonia,giraulti,male,663.92,1416161,,
Rv2x_u_male_07,Nasonia,giraulti,male,726.47,1743578,,
Rv2x_u_male_09,Nasonia,giraulti,male,651.40,1458547,,
Rv2x_u_male_10,Nasonia,giraulti,male,691.93,1809757,,
